,comment,comment_id,reply_count,like_count,updated_at,calificacion
39.0,Thank you so much for these practices!,UgyXpeaUjD-A7DXkeGd4AaABAg,0.0,1.0,2020-05-22T13:10:50Z,0.9998514652252197
40.0,"Me: A seventeen minute practice! No problem

Me at the end: I can't feel my legs

Love you Adriene! Thank you for continuing to push us while also keep us mindful and at peace",Ugz-cVWlqVIey08XMfF4AaABAg,0.0,20.0,2020-05-16T23:52:00Z,0.9994277358055115
41.0,It seems really difficult right now to imagine this one. I surround myself with space is the one thing that comes to mind right now. I suppose looking forward I choose to surround myself with time by planning my life and choosing to make opportunities.,UgyTTSDyYQrA56qIZgp4AaABAg,0.0,1.0,2020-05-02T21:16:58Z,0.9985742568969727
42.0,Here,UgxEW6Ut77gr52sYk3B4AaABAg,0.0,1.0,2020-04-27T22:27:44Z,0.9936696887016296
43.0,"I surround myself with joy, fun and love. Today was a day when I move through poses, I smiled, free-styled a little danse in between and said to myself, I'm really enjoying myself on the mat! learnt a lot... thank you adriene",Ugxo_z9B5vuZccHY9f14AaABAg,0.0,1.0,2020-04-22T12:56:54Z,0.9998806715011597
44.0,"Me at 11:50 : FUCK YOUR UTKATASANA ADRIENE!!! 🤣🤣🤣

But I did it and it felt great! Thanks for this awesome practice. Really got the breath flowing well and felt awesome. Turns out I like to yell during flow yoga 🤣👍 ❤",UgxvTeRNVNB6wuiLIOJ4AaABAg,0.0,1.0,2020-04-09T12:47:37Z,0.9998206496238708
45.0,I needed that massage hahaha was a good short fire practice. Thanks Adriene xx,UgxWXW_bkwcGjwMtxwd4AaABAg,0.0,1.0,2020-04-08T09:07:46Z,0.994364857673645
46.0,"I think ""Vanja Saied"" should be banned from this channel. She has been assaulting me recently",UgwBKFpxfsUyw41HALB4AaABAg,0.0,1.0,2020-04-06T09:46:09Z,-0.9995396137237549
47.0,This was the smoothest ending haha,Ugzl_o92qzChCS-GvQp4AaABAg,0.0,1.0,2020-03-22T23:29:33Z,0.8773504495620728
48.0,I surround my self with love 💕 and the love of YWA. Awesome practice today my shoulders are feeling totally lush xx,UgzVWFCdP6cv7a8TvDx4AaABAg,0.0,1.0,2020-03-15T08:51:39Z,0.9998182654380798
49.0,"I surround myself with generous people, because it allows me to give without expectation. When I give my time, energy or anything to generous people, I am seldom worried about being drained or ""paid back"" because I know the more I can do for them, the more they will do for people in their lives; which will hopefully create a cascading effect of positive vibes into the world by ""paying it forward."" And the world is round, and things often have a way of finding themselves back to us. Gotta watch out for the narcissists though, the energy hoarders who will do something for people someday when they have enough, the irony being that you always have enough but just in different ways.

😅 was this post weird enough? Haha, jk. Massive good vibes and good energy to everyone on the path trying to better themselves and the world around them. I love you, and I love everyone on this path here in the community. Jai Namaste from Jay Ram 🙏🕉️",UgykW0JkEfPdsvQMKPB4AaABAg,2.0,2.0,2019-12-21T13:57:07Z,0.9996438026428223
50.0,LOVE,UgwoIPt82-kGc7tykB54AaABAg,0.0,1.0,2019-12-18T14:11:27Z,0.9998735189437866
51.0,"Day 22 Checked
 I love you Adriene  Thankyou so much for this yoga camp I loved it",UgwXlrl2uCF6YySKwHx4AaABAg,0.0,1.0,2019-11-29T03:19:50Z,0.999842643737793
52.0,I surround myself with dopamine!,UgwvUhvs6zJ0HJPketJ4AaABAg,0.0,1.0,2019-11-28T05:15:02Z,0.8851128816604614
53.0,It’s over already!  Time flies,UgwFdJr48Akl1lmkiLV4AaABAg,0.0,1.0,2019-11-25T03:39:37Z,-0.9319862723350525
54.0,Day 22! I surround myself with many others sharing in this yoga community.,UgwQCLeUKaJq2GmU0l54AaABAg,0.0,2.0,2019-11-23T04:55:03Z,0.9989344477653503
55.0,"I Surround myself with people and things that make me feel good ❤️
I Surround myself with family 👨‍👩‍👧‍👦
I Surround myself with good friends 👫👬👭🕺💃👯‍♀️🏃‍♂️🏃‍♀️🚶‍♂️🚶‍♀️
I Surround myself with beauty and grace 🌞🌛🧘‍♂️🧘‍♀️
I Surround myself with chocolate and cheese 🍫🧀 (I mean, not at the same time though... 😅🤪😋😋😋)
I Surround myself with YWA special community ✨🌎💫
I’m awesome, you’re awesome, we’re awesome 😎
Namaste 🙏",UgyeMQ4s9MzC3eP4goN4AaABAg,1.0,2.0,2019-11-18T22:16:52Z,0.9998114705085754
56.0,"Today I surround myself with laughter. When I have a tough day, I’m glad I’m surrounded with good people who I can laugh, or as we southern folk say, “cut up” with. Today I was surrounded with a community filled with love and support and I honestly didn’t get to my mat until about 8 pm but I made it. Here we are, I’m surrounded by love, by my fur babies (2 cats 1 dog) and by a home where I’m safe. I hope you all have a wonderful night, I wish the best for each and every one of you for like me, you all want to be happy. Namaste",UgxvWuXVhKhsft8x7ct4AaABAg,1.0,2.0,2019-11-09T01:27:33Z,0.9998291730880737
57.0,Thank you ❤,Ugx84qQYNdJFpwdy6i54AaABAg,0.0,1.0,2019-10-23T00:06:16Z,0.9998127818107605
58.0,Day 23… Quick and dirty! Namaste! 😆♥️🙏🏻,Ugy7UWHfVAK2sgvEGEV4AaABAg,0.0,2.0,2019-09-28T00:59:38Z,-0.9789657592773438
59.0,I’ve been doing your videos for almost two years now and I can finally get through a whole video without feeling like I’m dying. I can’t believe it took two years!! Loving your yoga dear please keep it up.,UgycUufcZ4z0JQ1FXel4AaABAg,0.0,3.0,2019-09-25T12:12:27Z,0.9991705417633057
60.0,"I've been so tired during the last days and last night I didn't sleep well, that self massage was so needed!",UgwHBnJVTNz1iDPmMlp4AaABAg,0.0,1.0,2019-09-19T18:36:22Z,-0.9922116994857788
61.0,"Powerful, loved this! Awesome 👏 Namaste 🙏 thank You 🙏",UgyLRjec7Qvyq1ZzTI14AaABAg,0.0,1.0,2019-08-20T15:07:50Z,0.9998658895492554
62.0,Over already? Namaste! <3,UgzOmF6qNwfIm5FCMTl4AaABAg,0.0,1.0,2019-08-05T17:23:40Z,-0.9864934682846069
63.0,That was perfect for the morning before my job shift! I was not tempted to sleep more in shavasana lol!,Ugyqd1aQCerfjINQbdZ4AaABAg,0.0,0.0,2019-07-01T09:52:21Z,0.9955140948295593
64.0,yeeeeey .. done today,UgyJiZXoC58ZJ_nD8eB4AaABAg,0.0,0.0,2019-06-27T18:55:46Z,-0.8399485349655151
65.0,"i knowYoga Camp is old, but I am doing it for the first time. I love starting each day with a ywa routine. In ""I Believe,"" you were looking for songs starting with those words. I am 55 now, but wrote a song called ""I Believe"" in my 20s. I think you'd love it, but posting a recording is beyond me!",UgzGThzERnKrXAkh-OR4AaABAg,1.0,2.0,2019-06-21T13:28:03Z,-0.985005259513855
66.0,Thank you Adriene 🙏 I surround myself with love and support!! Thank you for your support namaste beloved😊💖,Ugw5topcbgi8cYqZgl94AaABAg,0.0,0.0,2019-03-07T18:51:24Z,0.9998705387115479
67.0,"Practice # 143 complete. Still having a hard time thinking I will make my goal of 365 but looking 150 in the face looks pretty good.  I surround myself with motivation, or at least I try 🙂.",UgwQA3E-cpy35UIxi1p4AaABAg,1.0,1.0,2019-02-24T22:41:43Z,0.9979694485664368
68.0,Thank you for these days of yoga. I started with the 30 day yoga challenge and right into yoga camp.  I am hoping that one day I will be able to step up to my hands. Long legs and big belly means I always have to kneel and remove hands. My arms are getting stronger and one day my hips will loosen up. I will be able to make it a true flow. Thank you for providing this time and space.,UgwzO12GzXdbPVATCwR4AaABAg,0.0,0.0,2019-02-22T16:05:31Z,0.999757707118988
69.0,I surround myself with positive thoughts.,UgwQjHTwoL2jpnegIdd4AaABAg,0.0,1.0,2019-02-08T17:18:28Z,0.9998577833175659
70.0,Easy days make me worried about tomorrow......,UgxRiS4S1fN4KQeuejd4AaABAg,0.0,0.0,2019-01-17T14:49:18Z,-0.9895798563957214
71.0,I surround myself in positive energies and rock and roll. Hehehe so much love Adrienne! Thank you!,Ugxt5lw8_UGlNNGOM0Z4AaABAg,0.0,0.0,2018-12-20T16:07:41Z,0.9998844861984253
72.0,I surround myself with love... That word just slides on in there like that's where it belongs,UgybSada2xrF-A_29Q94AaABAg,0.0,0.0,2018-11-30T13:37:47Z,0.9996923208236694
73.0,"I started yoga with Adriene having very little strength in my arms, so hoping to the front of the mat was not even an option. Today, I didn't even think of it, I just did it! I couldn't stop smiling for the rest of the practice. I feel awesome. Thanks for the last two months, Adriene. Namaste!",UgwAF-wxJuV8sfUyKPN4AaABAg,0.0,8.0,2018-11-17T17:55:55Z,0.9985069632530212
74.0,❤️,Ugz-aV8SnRHQO0kxZWh4AaABAg,0.0,0.0,2018-10-26T15:05:03Z,-0.6970567107200623
75.0,This was so beautiful and I needed it so much today ❤️ thank you for sharing this with us! Yoga with Adriene changed my life  🎈🦋,Ugx5rdbejH2MzUpLcvB4AaABAg,0.0,0.0,2018-08-11T20:50:29Z,0.9992226362228394
76.0,"I surround myself with love and support...man the mantra hit me with tears this morning. I'm often too detached, find myself lacking support. It all begins with me. I know I need to be more vulnerable. Thanks for helping peel back the layers so that I can open up and be the best version of myself, for myself and others. Namaste Adriene ❤",Ugxr5pWDuJfuGJatUn94AaABAg,0.0,1.0,2018-06-23T15:11:12Z,0.5899040699005127
77.0,"June 22, 2018. Day 22. Thank you thank you. I feel very grateful. I surround myself with gratitude.",Ugwsg72uR7qzC7In7YR4AaABAg,0.0,0.0,2018-06-21T23:20:42Z,0.9998681545257568
78.0,"I surround myself with joy,nature,passion,courage,true,beauty,healthy and delicious food (yay!),creativity,compassion,hard work,books,friends,family and tons of jokes! haha",UgxMHxZnVbmg9LPJrXV4AaABAg,0.0,0.0,2018-06-08T20:44:49Z,0.9998747110366821
79.0,"Thank you Adriene.....enjoy 
your yoga practices....I surround myself with positive people and my loving female dog",UgwqgF6aU0AAMGILchJ4AaABAg,0.0,0.0,2018-05-25T16:18:14Z,0.9998348951339722
80.0,I surround myself with love and gratitude! :) Thank you for amazing practice! Namaste! <3,UgwEuGIdNBiQdjcWm9R4AaABAg,0.0,0.0,2018-05-18T14:40:14Z,0.9998631477355957
81.0,I surround myself with comfort and support.,Ugx2kZn90T02u1e-6tV4AaABAg,0.0,3.0,2018-04-18T11:03:01Z,0.9998384714126587
82.0,I did this day again as I failed epically last time! <3,UgytE5D4bH_HQNUJi-h4AaABAg,0.0,0.0,2018-03-31T17:16:21Z,0.6407448649406433
83.0,"I have been suffering all day with back pain, hoping this will help x",Ugz0FdxR8eC6Mf-zeQ94AaABAg,0.0,0.0,2018-03-29T22:17:24Z,-0.9837079644203186
84.0,"Beautiful practice, Adriene; thank you very much. I loved the self-massage. 🙏❤️",UgxfzaiwszmfgbwRFHt4AaABAg,0.0,0.0,2018-03-11T09:39:25Z,0.9998617172241211
85.0,Day 22 - ✔ i surround myself with knowledge and thirst for new experiences,Ugwoe511_R-u_7RGYKV4AaABAg,0.0,2.0,2018-01-29T22:37:55Z,0.9978468418121338
86.0,"""I surrond myself with love and positivity""",Ugz3Wdvt4mRWq_1t2Jt4AaABAg,0.0,0.0,2017-12-22T15:32:58Z,0.9993587136268616
87.0,"I am in my third straight month of daily yoga with Adriene, and I am loving it! A couple of days ago I went to visit a friend, and we went for a walk in the woods by the beach. We came through a clearing and we were up on a hill above the ocean. I felt inspired and did tree pose for a minute, but then I said to my friend, ""Hold on. I want to see if I can do this other pose I've been working on."" I struck a crow pose and held it right there on the hill above the sea, and it felt amazing. Thank you, Adriene!",Ugw9ec20ZFPICWkmzI54AaABAg,0.0,43.0,2017-12-17T12:22:54Z,0.9998255372047424
88.0,"Hey! Is it normal to have very sore muscles since starting yoga camp? Especially in my neck and arm, yikes but besides this I feel SO good! ✌",UgxoCDJmOBTgYAdMWH94AaABAg,0.0,0.0,2017-12-09T00:37:27Z,0.9995154142379761
89.0,Thanks Adriene!!,UgwCBsXPf2eDFg8G1UB4AaABAg,0.0,1.0,2017-11-03T00:12:42Z,0.9998099207878113
90.0,Love yoga camp,UgwIirNaGnHDJ2BIlVB4AaABAg,0.0,0.0,2017-10-06T16:17:00Z,0.9986768364906311
91.0,Just so perfect yoga session for my birthday ! Thank you! You are awesome !!! I do yoga with you quite everyday since I have discovered your YouTube Channel 5 months ago !,UgzwNldmKfarosagDrd4AaABAg,0.0,0.0,2017-10-05T09:58:54Z,0.9998577833175659
92.0,... with good vibes and positive energy!,UgxaRlP6KqpnNtiMmFt4AaABAg,0.0,1.0,2017-10-04T07:11:46Z,0.9998747110366821
93.0,"I chose an interesting one today, I said ""I surround myself with determination"" because I often get in lazy funks and procrastinate things that need doing, in both trivial and important matters, and it was definitely a nice motivational boost! ^_^",UgzJZPLvzQpRUGJby214AaABAg,0.0,0.0,2017-09-23T22:55:15Z,0.9997358918190002
94.0,How can so much torture be crammed into 17 mins 😂,Ugx_6KOsd_d5omSKrB14AaABAg,0.0,0.0,2017-09-23T06:37:19Z,-0.9977499842643738
95.0,Thank you was lovely ❤️✌️,UgyIMB6G2HONemWtlIx4AaABAg,0.0,0.0,2017-09-09T00:48:15Z,0.9998563528060913
96.0,"lots of love and gratitude for you and your work here, Adriene.  Gracias!",Ugx5Hn1Rp64v4G1Qo8t4AaABAg,0.0,0.0,2017-09-05T18:50:44Z,0.9998624324798584
97.0,yes that was the best quick practice!! so energizing 😊,UgwQVfTH0C9evoKSkN94AaABAg,0.0,1.0,2017-09-05T13:03:38Z,0.9985452890396118
98.0,"I just wanted to express how grateful i am for you Adrienne. You have completely changed my perspective on yoga and now i love it so much there is not a day that goes by that i dont wake up and start the day with ""what feels right"" :) you make yoga fun and challenging and your hilarious! i understand and appreciate all of your references and your sex jokes make me feel right at home! Almost through yoga camp and loving every second of it! I definitely wont stop after camp is over and i love all the options you provide moving forward! THANK YOUUUU",UgiV04Fj3bH4zngCoAEC,0.0,1.0,2017-07-28T11:51:47Z,0.9997981190681458
99.0,"Thank you, Adriene for allowing me to be on the amazing journey with all of you in Yoga camp. I have never felt so connected to Yoga, myself and the universe around us all. Now I don't know if I will spell this correctly as I've never said it but here goes: Loka Samasta Szukinu Bavantu - May the whole Universe be ful of love, light, joy and peace, for ALL to share. Jai! Om Shanti x x x x x",UgjTzSGaNJ0J4XgCoAEC,0.0,0.0,2017-07-25T17:18:56Z,0.9992576241493225
100.0,I just CAN NOT understand who may dislike this?,UggClFilXpAFyXgCoAEC,0.0,0.0,2017-07-14T19:45:14Z,-0.9997459053993225
101.0,I really connected to this practice. thank you Adriene; now I can say that I'm a believer! ;),UghwTrhkdpBvyXgCoAEC,0.0,1.0,2017-07-01T23:36:45Z,0.9996404647827148
102.0,"Thanks for this nice practice, Adriene!",UggDuHCV8H_AsngCoAEC,0.0,0.0,2017-06-17T18:21:59Z,0.9998273849487305
